year,month,incident_count,total_dead,total_missing
2014,1,31,42,0
2014,2,38,80,6
2014,3,36,298,44
2014,4,40,84,41
2014,5,44,205,276
2014,6,65,141,301
2014,7,62,154,778
2014,8,57,425,393
2014,9,44,155,722
2014,10,48,158,122
2014,11,29,55,63
2014,12,37,82,818
2015,1,61,133,107
2015,2,32,77,357
2015,3,47,128,449
2015,4,48,861,744
2015,5,59,305,159
2015,6,77,128,82
2015,7,75,300,15
2015,8,114,551,359
2015,9,123,313,160
2015,10,150,655,67
2015,11,96,239,20
2015,12,151,631,121
2016,1,126,381,186
2016,2,127,406,119
2016,3,131,385,204
2016,4,95,157,607
2016,5,107,338,1057
2016,6,130,310,347
2016,7,145,421,66
2016,8,138,261,21
2016,9,115,427,120
2016,10,144,593,179
2016,11,118,364,598
2016,12,139,427,279
2017,1,141,337,240
2017,2,105,287,132
2017,3,69,211,252
2017,4,74,159,236
2017,5,129,345,500
2017,6,161,446,404
2017,7,115,320,88
2017,8,138,298,149
2017,9,165,458,164
2017,10,127,397,161
2017,11,127,342,162
2017,12,135,291,25
2018,1,118,291,222
2018,2,123,248,147
2018,3,129,245,34
2018,4,124,276,61
2018,5,132,205,35
2018,6,177,444,485
2018,7,161,263,183
2018,8,145,306,93
2018,9,161,247,204
2018,10,163,328,125
2018,11,113,225,92
2018,12,100,182,76
2019,1,128,305,202
2019,2,116,249,18
2019,3,145,271,117
2019,4,156,299,103
2019,5,151,297,123
2019,6,162,265,111
2019,7,185,436,153
2019,8,145,250,174
2019,9,162,249,86
2019,10,162,352,67
2019,11,160,327,378
2019,12,145,349,251
2020,1,153,233,120
2020,2,91,133,180
2020,3,68,151,93
2020,4,61,147,46
2020,5,55,129,20
2020,6,95,288,32
2020,7,126,146,188
2020,8,143,278,103
2020,9,169,208,310
2020,10,152,284,385
2020,11,118,244,247
2020,12,94,189,174
2021,1,102,175,83
2021,2,132,177,168
2021,3,147,296,152
2021,4,160,300,222
2021,5,121,235,195
2021,6,210,347,395
2021,7,170,355,204
2021,8,184,571,373
2021,9,174,232,120
2021,10,169,308,97
2021,11,161,296,111
2021,12,157,549,318
2022,1,180,307,281
2022,2,152,505,110
2022,3,162,279,231
2022,4,181,426,311
2022,5,214,383,268
2022,6,235,467,82
2022,7,209,371,126
2022,8,219,366,127
2022,9,208,443,221
2022,10,186,371,317
2022,11,207,306,122
2022,12,136,333,452
2023,1,192,249,170
2023,2,198,573,129
2023,3,227,582,169
2023,4,143,534,218
2023,5,154,337,88
2023,6,179,545,780
2023,7,306,557,196
2023,8,319,572,411
2023,9,249,352,101
2023,10,262,357,175
2023,11,259,563,469
2023,12,215,300,328
2024,1,271,386,145
2024,2,286,423,256
2024,3,248,437,301
2024,4,216,441,147
2024,5,233,392,300
2024,6,243,485,278
2024,7,266,581,553
2024,8,200,564,159
2024,9,217,422,323
2024,10,238,571,247
2024,11,234,626,502
2024,12,239,353,305
2025,1,197,367,139
2025,2,189,348,101
2025,3,156,249,409
2025,4,65,173,103
2025,5,95,645,37
2025,6,77,165,79
2025,7,83,172,78
2025,8,74,402,338
2025,9,41,94,68
